Baumnummer;Bereich;Haus-Nr;Genauer Standort;Sicherheitserwartung;Benutzer;Campus;St-Du (cm);St-U (cm);Höhe (m);Kronen-DM (m);Pflanzjahr;nächste Kontrolle;Verkehrssicherheit;Sonstiges;Bewertung Wurzeln;Bewertung Stamm;Bewertung Krone;Art deutsch;Art botanisch;Kronenform;Vitalität;Physiologie;GUID_Baum;Baumfläche;RW;HW;Kontrolldatum;Symptome Wurzeln;Symptome Stamm;Symptome Krone;Maßnahme
3278;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;46;145;21;16;1965;2019-03;3-wiederherstellbar;;1-leichte Schäden;0-keine Schäden;1-leichte Schäden;Rot-Eiche;Quercus rubra;3-ausladend;1-vital;2-Erwachsener Baum;80b0162e-8359-4f4d-b9cb-0091e3a29e41;;3458457,547;5440055,191;18.05.2018;01-Verletzung;;07-Totholz, 01-Verletzung;b06-Totholzbeseitigung (3-wichtig)
3279;03;;Gebäude 341;2-normal;SVBüro-Radüge;Nord;40;126;21;11;1975;2019-03;3-wiederherstellbar;;1-leichte Schäden;0-keine Schäden;2-deutliche Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;3-sehr geschwächt;2-Erwachsener Baum;cdd75c09-e3ad-4d46-b17b-dfc3888a0ada;;3458457,92712577;5440048,37847577;24.05.2018;01-Verletzung;;08-Wipfeldürre, 01-Verletzung, 07-Totholz;b03-Kronenpflege (3-wichtig)
3280;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;33;104;16;8;1980;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;1-leichte Schäden;Rotbuche;Fagus sylvatica;1-normal;2-geschwächt;2-Erwachsener Baum;42ea700f-caa5-4ffb-ad8e-1c1d38b3ec15;;3458452,935;5440048,262;18.05.2018;01-Verletzung;;08-Wipfeldürre;
3281;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;35;110;17;9;1980;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;1-leichte Schäden;Sommer-Linde;Tilia platyphyllos;1-normal;1-vital;2-Erwachsener Baum;9a4a4b81-8267-4e68-805b-8810d3907e1f;;3458450,44;5440053,124;18.05.2018;01-Verletzung;;01-Verletzung, 05-V-Vergabelung;
3282;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;37;116;16;10;1980;2019-03;1-verkehrssicher;;1-leichte Schäden;1-leichte Schäden;0-keine Schäden;Rosskastanie;Aesculus;1-normal;1-vital;2-Erwachsener Baum;912be428-933e-4499-a6f2-93e583a3dcb9;;3458445,612;5440045,563;18.05.2018;01-Verletzung;02-Höhlung;;
3283;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;27;85;16;8;1980;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;2-geschwächt;2-Erwachsener Baum;d65a4d51-41a1-4442-9958-adcf1e9cc9ff;;3458443,38;5440037,502;18.05.2018;;;08-Wipfeldürre;
3284;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;74;232;23;7;1970;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Mammutbaum;Sequoiadendron giganteum;1-normal;2-geschwächt;2-Erwachsener Baum;33a57e07-26f1-4fa6-8570-ace795343086;;3458440,739;5440028,302;18.05.2018;;;09-Blattverfärbung;
3285;03;;Gebäude 341;2-normal;SVBüro-Radüge;Nord;29;91;16;8;1980;2019-03;4-nicht verkehrssicher;1/3 Krone abgestorben, Pflege nicht sinnvoll;1-leichte Schäden;0-keine Schäden;3-erhebliche Schäden;Berg-Ahorn;Acer pseudoplatanus;2-einseitig;3-sehr geschwächt;4-Schadbaum;aa0347af-83f7-4ca7-ad06-05ea3fdaa136;;3458452,80812576;5440034,76947576;24.05.2018;04-Bodenverdichtung;;08-Wipfeldürre, 07-Totholz;b12-Fällung (3-wichtig)
3286;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;57;179;24;16;1965;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Rot-Eiche;Quercus rubra;3-ausladend;1-vital;2-Erwachsener Baum;ba484b3a-b1be-446e-93c1-8c38d72a099b;;3458457,772;5440037,274;18.05.2018;;;01-Verletzung;
3287;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;45;141;23;13;1975;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;1-vital;2-Erwachsener Baum;409844b0-4d03-48c1-9422-625f2f6a4d00;;3458461,942;5440036,462;18.05.2018;;;;
3288;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;36;113;15;11;1985;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Sommer-Linde;Tilia platyphyllos;1-normal;1-vital;2-Erwachsener Baum;c9c2ba5a-77d4-4a9b-91c7-3d86d76054ef;;3458469,222;5440040,924;18.05.2018;;;01-Verletzung;
3289;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;35;110;18;9;1985;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;3-erhebliche Schäden;Schwarznuss;Juglans nigra;1-normal;1-vital;4-Schadbaum;03c46fb8-8895-4507-9c26-0147659a1f57;;3458473,788;5440039,554;18.05.2018;;01-Verletzung;08-Wipfeldürre;
3290;03;;Gebäude 341;1-höher;SVBüro-Strasser;Nord;43;135;17;11;1970;2019-03;1-verkehrssicher;EPS ;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Trauben-Eiche;Quercus petraea;1-normal;1-vital;2-Erwachsener Baum;9587061d-3a0e-48db-bcbf-38aa17dae89f;;3458476,984;5440041,608;18.05.2018;01-Verletzung;;01-Verletzung;
3291;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;43;135;21;11;1965;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;0-keine Schäden;Rotbuche;Fagus sylvatica;1-normal;2-geschwächt;2-Erwachsener Baum;bce7221a-3a18-4a1f-9be8-a1b176a0d91b;;3458472,704;5440044,633;18.05.2018;01-Verletzung;;;
3292;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;27;85;16;7;1980;2019-03;4-nicht verkehrssicher;Baum am absterben, weitere Pflege fraglich;0-keine Schäden;0-keine Schäden;2-deutliche Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;3-sehr geschwächt;2-Erwachsener Baum;18aeb703-df78-40e9-be22-1a11b095a008;;3458470,00212578;5440046,35747576;24.05.2018;;;08-Wipfeldürre, 07-Totholz;b12-Fällung (3-wichtig)
3293;03;;Gebäude 341;2-normal;SVBüro-Strasser;Nord;31;97;14;9;1985;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;1-leichte Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;2-geschwächt;2-Erwachsener Baum;1e5411fd-e951-4e05-9da8-34fcf73f357f;;3458482,941;5440053,162;18.05.2018;;01-Verletzung;08-Wipfeldürre;
3294;03;;Gebäude 341;1-höher;SVBüro-Strasser;Nord;83;261;24;20;1955;2019-03;3-wiederherstellbar;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Rot-Eiche;Quercus rubra;3-ausladend;1-vital;2-Erwachsener Baum;ed1b862e-951d-47c1-bcf9-475764d80012;;3458468,107;5440020,75;18.05.2018;;;01-Verletzung, 07-Totholz;
3295;03;;Gebäude 341;1-höher;SVBüro-Strasser;Nord;32;101;14;10;1985;2019-03;1-verkehrssicher;;0-keine Schäden;2-deutliche Schäden;2-deutliche Schäden;Berg-Ahorn;Acer pseudoplatanus;1-normal;3-sehr geschwächt;2-Erwachsener Baum;2631eeab-d984-4424-a418-0bf173e09efc;;3458456,757;5440023,84;18.05.2018;;01-Verletzung;08-Wipfeldürre;
3296;03;;Gebäude 348;2-normal;SVBüro-Strasser;Nord;62;195;17;15;1970;2019-03;3-wiederherstellbar;;0-keine Schäden;1-leichte Schäden;1-leichte Schäden;Rot-Eiche;Quercus rubra;1-normal;2-geschwächt;2-Erwachsener Baum;421888a5-4155-4069-a6cd-dae603f97fec;;3458371,436;5440046,795;18.05.2018;;11-Stamm- Stockaustriebe, 01-Verletzung;01-Verletzung, 07-Totholz;b06-Totholzbeseitigung (3-wichtig) (Totholz über Parkplatz )
3297;03;;Gebäude 348;1-höher;SVBüro-Strasser;Nord;10;31;4;5;2012;2020-04;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Schwarznuss;Juglans nigra;1-normal;1-vital;1-Jungbaum;b9bead1f-dbd6-4f58-9f5b-11ad526d767d;;3458359,318;5440049,915;18.05.2018;;05-V-Vergabelung;;
3298;03;;Gebäude 351;2-normal;SVBüro-Strasser;Nord;58;182;24;14;1965;2019-03;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;0-keine Schäden;Douglasie;Pseudotsuga menziesii;1-normal;1-vital;2-Erwachsener Baum;06caf195-95ab-4b9f-9aa1-e00d6ebd66ca;;3458238,945;5440081,284;18.05.2018;01-Verletzung, 09-Bauschaden;;;
3299;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;49;154;22;11;1965;2019-03;1-verkehrssicher;;2-deutliche Schäden;0-keine Schäden;0-keine Schäden;Douglasie;Pseudotsuga menziesii;1-normal;1-vital;2-Erwachsener Baum;c77b46c3-c512-43c1-a705-dad963a79bca;;3458238,485;5440087,498;18.05.2018;01-Verletzung, 09-Bauschaden;;;
3300;03;;Gebäude 351;2-normal;SVBüro-Strasser;Nord;89;280;20;8;1950;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Mammutbaum;Sequoiadendron giganteum;1-normal;2-geschwächt;2-Erwachsener Baum;84f8a9c0-4264-45c6-9ddf-3fe542f77295;;3458199,314;5440091,134;18.05.2018;;;09-Blattverfärbung;
3301;03;;Gebäude 351;1-höher;SVBüro-Strasser;Nord;108;339;20;10;1950;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Mammutbaum;Sequoiadendron giganteum;1-normal;2-geschwächt;2-Erwachsener Baum;71db23f7-638b-48a4-85d9-badeed02755c;;3458204,548;5440099,844;18.05.2018;;;08-Wipfeldürre, 09-Blattverfärbung;
