"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"lilalu";"Height_DEM";"tüdldü";"tudldu"
Nord;;1258;Medizinische Dienste;Rotbuche;Fagus sylvatica;Einzelbaum;;"16.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";170;20;15;1970;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"01";3458199.61112551;5439636.77247553;"00012D160000585C39CE4B624A41353D703125C05441585C39CE4B624A41353D703125C054417C01000000585C39CE4B624A41353D703125C05441FE";110.70478977341568;;
Nord;;137;Ausgang Nord;Linde;Tilia x;Einzelbaum;;"22.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";75;8;5;1995;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458973.41312623;5441730.66147672;"00012D160000FF51E1B4CE634A4174A255AA30C25441FF51E1B4CE634A4174A255AA30C254417C01000000FF51E1B4CE634A4174A255AA30C25441FE";110.08072421218026;;
Nord;;3204;Gebäude 329;Hainbuche;Carpinus betulus;Einzelbaum;;"24.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";82;16;9;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"03";3458383.8;5440010.388;"00012D160000666666E6A7624A41F4FDD49882C05441666666E6A7624A41F4FDD49882C054417C01000000666666E6A7624A41F4FDD49882C05441FE";110.44107985176889;;
Nord;;1150;Präsidium;Sommer-Linde;Tilia platyphyllos;Einzelbaum;;"17.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";91;16;11;1990;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"01";3458358.86712568;5439761.5884756;"00012D1600006BF9FD6E9B624A419095A96544C054416BF9FD6E9B624A419095A96544C054417C010000006BF9FD6E9B624A419095A96544C05441FE";110.98066188358402;;
Nord;;2145;KITA;Säulen-Hainbuche;Carpinus betulus 'Fastigiata';Einzelbaum;;"22.03.2018";"2020 Q4";SVBüro-Strasser;"1-verkehrssicher";"1-höher";"1-vital";"1-Jungbaum";16;5;1;2016;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"02";3458523.40525172;5439415.62195078;"00012D160000D249DFB3ED624A41A50ACEE7EDBF5441D249DFB3ED624A41A50ACEE7EDBF54417C01000000D249DFB3ED624A41A50ACEE7EDBF5441FE";110.7214935163552;;
Nord;;3254;Gebäude 341;Stiel-Eiche;Quercus robur;Einzelbaum;;"24.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";210;21;13;1930;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"2-deutliche Schäden";"1-normal";;;"03";3458504.25;5440076.99;"00012D16000000000020E4624A41F6285C3F93C0544100000020E4624A41F6285C3F93C054417C0100000000000020E4624A41F6285C3F93C05441FE";110.11135765730913;;
Nord;;4094;Gebäude 419;Weiss-/Sandbirke;Betula pendula;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"3-wiederherstellbar";"1-höher";"2-geschwächt";"2-Erwachsener Baum";101;14;9;1985;;"0-keine Schäden";;"0-keine Schäden";"07-Totholz | 08-Wipfeldürre | 11-Astab-/ausbruch";"1-leichte Schäden";"1-normal";;;"04";3458798.07112614;5439753.51447558;"00012D1600004FA91A0977634A41FC2AED6042C054414FA91A0977634A41FC2AED6042C054417C010000004FA91A0977634A41FC2AED6042C05441FE";110.84765327242238;;
Nord;;4373;Gebäude 441;Weiss-/Sandbirke;Betula pendula;Einzelbaum;;"24.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";123;20;8;1975;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 08-Wipfeldürre";"1-leichte Schäden";"2-einseitig";;;"04";3458550.465;5439995.683;"00012D160000B81E853BFB624A41A245B6EB7EC05441B81E853BFB624A41A245B6EB7EC054417C01000000B81E853BFB624A41A245B6EB7EC05441FE";110.63543862421211;;
Nord;;1294;Gebäude 142;;;Baumgruppe;85;"22.10.2019";"2021 Q2";Zapf;"3-wiederherstellbar";"1-höher";"1-vital";"2-Erwachsener Baum";185;24;16;1960;;;;;;;"1-normal";;;"01";3458180.17779503;5439719.00200198;"00012D160000D0FCC11642624A41EACC20C039C05441D0FCC11642624A41EACC20C039C054417C01000000D0FCC11642624A41EACC20C039C05441FE";110.6929324964915;;
Ost;"70.90";174;Rennpiste;Schwarz-Kiefer;Pinus nigra;Einzelbaum;;"04.02.2019";"2020 Q3";R.Kastner;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";239;17;16;1960;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";;"0-keine Schäden";"2-einseitig";;;CO;3458583.39612626;5431880.27447094;"00012D160000EA43B4B20B634A4190EE901192B85441EA43B4B20B634A4190EE901192B854417C01000000EA43B4B20B634A4190EE901192B85441FE";0;;
Nord;;7028;Gebäude 717;Korkenzieher-Weide;Salix matsudana 'Tortuosa';Einzelbaum;;"30.05.2018";"2020 Q4";SVBüro-Strasser;"1-verkehrssicher";"1-höher";"1-vital";"1-Jungbaum";53;8;5;2000;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"10-Kappung";"2-deutliche Schäden";"5-gekappt";;;"07";3458533.765;5440674.324;"00012D1600001F85EBE1F2624A417F6ABC9428C154411F85EBE1F2624A417F6ABC9428C154417C010000001F85EBE1F2624A417F6ABC9428C15441FE";110.2463039498708;;
