Campus,Hausnummer,Baumnummer,Genauer Standort,Art deutsch,Art botanisch,Einzelbaum/Gruppe,Anzahl Bäume (Gruppe),Datum Kontrolle,Nächste Kontrolle,Kontrolleur,Verkehrssicherheit,Funktion,Vitalität,Physiologie,O Stamm,Höhe,Ø Krone,Pflanzjahr,Symptom Wurzel,Bewertung Wurzel,Symptom Stamm,Bewertung Stamm,Symptom Krone,Bewertung Krone,Kronenform,Symptom Gruppe,Bewertung Gruppe,Bereich,Koordinate X,Koordinate Y,Height_DEM,tree_h_pointcloud,crown_height_pointcloud
Nord,,"1162",Präsidium,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"167","19","13","1960",,0-keine Schäden,09-Schrägstand,1-leichte Schäden,01-Verletzung | 14-Baumfremder Bewuchs,1-leichte Schäden,2-einseitig,,,"01",3458367.62912568,5439781.89647561,110.866241486043,17.1625085139566,13.7928125
Nord,,"6168",Gebäude 681,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,3-sehr geschwächt,2-Erwachsener Baum,"101","13","8","1970",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,07-Totholz | 08-Wipfeldürre,0-keine Schäden,1-normal,,,"06",3458680.32525196,5440559.1599521,110.352162448428,11.6978375515721,10.06
Nord,,"6277",Gebäude 693,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"97","12","11","1985",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,3-ausladend,,,"06",3458889.1601262,5440512.25647602,110.709739926512,7.11248229571011,5.61222222222221
Nord,,"6164",Gebäude 681,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"113","15","10","1970",01-Verletzung,2-deutliche Schäden,,0-keine Schäden,01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch,2-deutliche Schäden,1-normal,,,"06",3458675.88712597,5440541.00247604,110.239693665193,13.200306334807,11.71
Nord,,"4075",Karlsruher Allee,Spitz-Ahorn,Acer platanoides,Einzelbaum,,18.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"135","15","12","1985",01-Verletzung,1-leichte Schäden,01-Verletzung | 05-V-Vergabelung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458868.974,5439761.453,110.918389654083,11.8303603459173,11.30625
Nord,,"4344",Gebäude 445,Spitz-Ahorn,Acer platanoides,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"123","15","10","1980",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458731.647,5439959.778,110.43890056395,15.465309962366,14.1626315789474
Nord,,"10037",Nordeingang,Rotbuche,Fagus sylvatica,Einzelbaum,,14.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,3-sehr geschwächt,2-Erwachsener Baum,"104","20","10","1970",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 08-Wipfeldürre,2-deutliche Schäden,1-normal,,,"10",3459092.053,5442051.203,0,,
Nord,,"3289",Gebäude 341,Schwarznuss,Juglans nigra,Einzelbaum,,24.09.2019,2020 Q2,Zapf,1-verkehrssicher,2-normal,2-geschwächt,4-Schadbaum,"110","18","9","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,08-Wipfeldürre,3-erhebliche Schäden,1-normal,,,"03",3458473.78812578,5440039.55447576,110.40904448663,13.9259555133696,12.795
Nord,,"4283",Friedrichstaler Straße ,Stiel-Eiche,Quercus robur,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"88","14","10","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458946.189,5439834.751,110.429832943119,5.83683372354733,5.25666666666666
Nord,,"10053",Nordeingang,Rotbuche,Fagus sylvatica,Einzelbaum,,14.10.2019,2020 Q3,Zapf,1-verkehrssicher,1-höher,1-vital,3-Altbaum,"167","25","13","1935",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 11-Astab-/ausbruch,1-leichte Schäden,2-einseitig,,,"10",3459109.91,5442128.417,0,,
Nord,,"4035",Eggensteinerstraße,Kugel-Robinie,Robinia pseudoacacia 'Umbraculifera',Einzelbaum,,23.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"47","5","5","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458557.125,5439775.494,110.750851112528,2.43057745890047,1.78571428571431
Nord,,"1107",Präsidium,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,23.09.2019,2021 Q1,Zapf,3-wiederherstellbar,1-höher,1-vital,2-Erwachsener Baum,"163","24","10","1960",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 02-Höhlung | 07-Totholz | 14-Baumfremder Bewuchs,2-deutliche Schäden,1-normal,,,"01",3458348.42737701,5439699.59342669,110.755857502223,22.1891424977767,15.0285294117647
Nord,,"4243",Gebäude 436 ,Hainbuche,Carpinus betulus,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"113","17","12","1980",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458803.793,5439871.414,111.452505979984,12.9468690200158,12.258125
Nord,,"10011",Nordeingang,Rotbuche,Fagus sylvatica,Einzelbaum,,14.10.2019,2021 Q2,Zapf,3-wiederherstellbar,1-höher,3-sehr geschwächt,2-Erwachsener Baum,"119","23","11","1950",,0-keine Schäden,01-Verletzung | 02-Höhlung,1-leichte Schäden,07-Totholz | 08-Wipfeldürre,2-deutliche Schäden,1-normal,,,"10",3459032.02212629,5441853.28047679,109.642855537648,25.6175016052093,22.9410714285714
Ost,"70.90","183",Rennpiste,,,Baumgruppe,,05.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"91","7","11","1990",,0-keine Schäden,,1-leichte Schäden,,0-keine Schäden,1-normal,01-Verletzung | 05-V-Vergabelung,,CO,3458516.42712619,5431814.0794709,0,,
Nord,,"58",Turm,Rot-Fichte,Picea abies,Einzelbaum,,09.10.2019,2021 Q2,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"157","22","10","1965",01-Verletzung,1-leichte Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"00",3458628.82925186,5440416.61495194,110.408455586828,18.9123444131724,16.7955999999999
Nord,,"2270",Neureuter Straße,Weiss-/Sandbirke,Betula pendula,Einzelbaum,,19.11.2019,2021 Q1,Holzheuer,3-wiederherstellbar,1-höher,2-geschwächt,2-Erwachsener Baum,"126","18","10","1985",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 07-Totholz,1-leichte Schäden,1-normal,,,"02",3458621.8372519,5439692.3159511,110.535220571984,13.6092238724599,12.8344444444444
Nord,,"4232",Gebäude 436 ,Serbische Fichte,Picea omorika,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"57","15","2","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458810.771,5439875.203,111.296712612672,10.5882873873284,8.88500000000001
Nord,,"4004",Leopoldshafener Allee,Rot-Fichte,Picea abies,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"85","14","6","1990",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458462.211,5439786.474,110.343118851014,10.0335478156524,9.29000000000001
Nord,,"4101",Gebäude 418,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,18.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"113","23","8","1970",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458754.535,5439759.232,110.864500277079,19.8792928263693,15.2648275862069
Nord,,"1194",Präsidium,Spitz-Ahorn,Acer platanoides,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"157","20","15","1960",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"01",3458270.90312559,5439695.50947556,111.221736155725,15.5782638442755,12.7614285714286
Nord,,"1251",Gebäude 142,Rot-Eiche,Quercus rubra,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"188","24","16","1965",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,3-ausladend,,,"01",3458229.05625108,5439736.74495118,110.718424471507,16.0232421951594,15.1133333333333
Ost,"70.30","44",NO,Rot-Eiche,Quercus rubra,Einzelbaum,,19.11.2019,2020 Q3,Holzheuer,3-wiederherstellbar,1-höher,2-geschwächt,4-Schadbaum,"217","18","15","1965",01-Verletzung | 02-Höhlung,3-erhebliche Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung | 07-Totholz,2-deutliche Schäden,1-normal,,,CO,3458687.70812637,5431796.01247089,0,,
Ost,"70.16","197",NW,Hainbuche,Carpinus betulus,Einzelbaum,,05.02.2019,2020 Q3,R.Kastner,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"113","16","12","1980",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,CO,3458339.773126,5431939.89147099,0,,
Nord,,"6294",Gebäude 691,Hainbuche,Carpinus betulus,Einzelbaum,,09.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"88","10","9","1990",,0-keine Schäden,,0-keine Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"06",3458869.831,5440502.701,111.145792077429,5.57587458923722,4.39166666666668
Nord,,"3091",Gebäude 305,Hainbuche,Carpinus betulus,Einzelbaum,,23.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"104","19","9","1970",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,,0-keine Schäden,2-einseitig,,,"03",3458272.049,5439877.219,110.581671193238,14.8166621400955,13.8966666666667
Nord,,"2037",Kantine,Hainbuche,Carpinus betulus,Einzelbaum,,19.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"91","13","8","1990",,0-keine Schäden,02-Höhlung | 11-Stamm- Stockaustriebe,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"02",3458396.116,5439442.677,111.595278595677,16.5087214043234,15.867
Nord,,"7071",Gebäude 712,Linde,Tilia x,Einzelbaum,,11.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"94","15","10","1980",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"07",3458420.846,5440660.642,110.461753455951,8.17624654404925,7.50099999999999
Nord,,"65",Turm,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,09.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"236","23","14","1950",,0-keine Schäden,05-V-Vergabelung | 10-Baumfremder Bewuchs,1-leichte Schäden,,0-keine Schäden,1-normal,,,"00",3458632.69012593,5440438.44047599,110.233985417474,21.108389582526,18.335625
