"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"height_default"
Nord;;4156;Gebäude 425;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"26.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";119;14;8;1980;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch | 12-ungünst. Kronenaufbau";"1-leichte Schäden";"1-normal";;;"04";3458716.53912605;5439869.10647565;118
Nord;;1162;Präsidium;Gemeine Kiefer, Föhre;Pinus sylvestris;Einzelbaum;;"17.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";167;19;13;1960;;"0-keine Schäden";"09-Schrägstand";"1-leichte Schäden";"01-Verletzung | 14-Baumfremder Bewuchs";"1-leichte Schäden";"2-einseitig";;;"01";3458367.62912568;5439781.89647561;118
Nord;;6168;Gebäude 681;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"3-sehr geschwächt";"2-Erwachsener Baum";101;13;8;1970;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"07-Totholz | 08-Wipfeldürre";"0-keine Schäden";"1-normal";;;"06";3458680.32525196;5440559.1599521;118
Nord;;6277;Gebäude 693;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";97;12;11;1985;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"3-ausladend";;;"06";3458889.1601262;5440512.25647602;118
Nord;;6164;Gebäude 681;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"10.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";113;15;10;1970;"01-Verletzung";"2-deutliche Schäden";;"0-keine Schäden";"01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch";"2-deutliche Schäden";"1-normal";;;"06";3458675.88712597;5440541.00247604;118
Nord;;4075;Karlsruher Allee;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"18.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";135;15;12;1985;"01-Verletzung";"1-leichte Schäden";"01-Verletzung | 05-V-Vergabelung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"04";3458868.974;5439761.453;118
Nord;;4344;Gebäude 445;Spitz-Ahorn;Acer platanoides;Einzelbaum;;"26.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";123;15;10;1980;;"0-keine Schäden";"01-Verletzung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"04";3458731.647;5439959.778;118
Nord;;10037;Nordeingang;Rotbuche;Fagus sylvatica;Einzelbaum;;"14.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"3-sehr geschwächt";"2-Erwachsener Baum";104;20;10;1970;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 08-Wipfeldürre";"2-deutliche Schäden";"1-normal";;;"10";3459092.053;5442051.203;118
Nord;;3289;Gebäude 341;Schwarznuss;Juglans nigra;Einzelbaum;;"24.09.2019";"2020 Q2";Zapf;"1-verkehrssicher";"2-normal";"2-geschwächt";"4-Schadbaum";110;18;9;1985;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"08-Wipfeldürre";"3-erhebliche Schäden";"1-normal";;;"03";3458473.78812578;5440039.55447576;118
Nord;;4283;Friedrichstaler Straße ;Stiel-Eiche;Quercus robur;Einzelbaum;;"07.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";88;14;10;1985;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458946.189;5439834.751;118
